Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Wekeza Maisha Fund,1414947787,2772331.75,510.3818,510.3818,500.1742,9/29/2020
Wekeza Maisha Fund,1412489577,2768215.6,510.2527,510.2527,500.0477,9/28/2020
Wekeza Maisha Fund,1420640697,2784897.79,510.1231,510.1231,499.9206,9/27/2020
Wekeza Maisha Fund,1417980752,2784465.77,509.247,509.247,499.062,9/24/2020
Wekeza Maisha Fund,1414018755,2777394.66,509.117,509.117,498.9346,9/23/2020
Wekeza Maisha Fund,1413650653,2777365.18,508.9898,508.9898,498.81,9/22/2020
Wekeza Maisha Fund,1411777025,2774378.13,508.8625,508.8625,498.6853,9/21/2020
Wekeza Maisha Fund,1421290061,2784495.15,510.4301,510.4301,500.2215,9/20/2020
Wekeza Maisha Fund,1424523263,2783700.19,511.7373,511.7373,501.5026,9/17/2020
Wekeza Maisha Fund,1424170380,2783700.19,511.6105,511.6105,501.3783,9/16/2020
Wekeza Maisha Fund,1423817473,2783700.19,511.4838,511.4838,501.2541,9/15/2020
Wekeza Maisha Fund,1423452566,2783676.71,511.357,511.357,501.1299,9/14/2020
Wekeza Maisha Fund,1423327372,2784122.78,511.2301,511.2301,501.0055,9/13/2020
Wekeza Maisha Fund,1425504037,2790701.97,510.8048,510.8048,500.5887,9/10/2020
Wekeza Maisha Fund,1424751246,2789918.7,510.6784,510.6784,500.4648,9/9/2020
Wekeza Maisha Fund,1423768402,2788684.74,510.5519,510.5519,500.3409,9/8/2020
Wekeza Maisha Fund,1423395492,2788645.55,510.4254,510.4254,500.2169,9/7/2020
Wekeza Maisha Fund,1423546662,2789634.72,510.2986,510.2986,500.0926,9/6/2020
Wekeza Maisha Fund,1421886218,2788457.77,509.9185,509.9185,499.7201,9/3/2020
Wekeza Maisha Fund,1419013202,2783513.55,509.7921,509.7921,499.5963,9/2/2020
Wekeza Maisha Fund,1418659989,2783513.55,509.6652,509.6652,499.4719,9/1/2020
Wekeza Maisha Fund,1421274081,2789379.82,509.5305,509.5305,499.3399,8/31/2020
Wekeza Maisha Fund,1418816848,2785216.38,509.4099,509.4099,499.2217,8/30/2020
Wekeza Maisha Fund,1417527984,2784764.49,509.0298,509.0298,498.8492,8/27/2020
Wekeza Maisha Fund,1416657976,2783748.35,508.903,508.903,498.725,8/26/2020
Wekeza Maisha Fund,1415850109,2782854.22,508.7762,508.7762,498.6007,8/25/2020
Wekeza Maisha Fund,1414847215,2781576.21,508.6495,508.6495,498.4765,8/24/2020
Wekeza Maisha Fund,1416098297,2784744.01,508.5201,508.5201,498.3497,8/23/2020
Wekeza Maisha Fund,1414704547,2784084.08,508.14,508.14,497.9772,8/20/2020
Wekeza Maisha Fund,1411036506,2783271.92,506.9704,506.9704,496.831,8/19/2020
Wekeza Maisha Fund,1410328227,2783271.92,506.7159,506.7159,496.5816,8/18/2020
Wekeza Maisha Fund,1410682379,2783271.92,506.8432,506.8432,496.7063,8/18/2020
Wekeza Maisha Fund,1409974052,2783271.92,506.5887,506.5887,496.4569,8/17/2020
Wekeza Maisha Fund,1408911380,2783271.92,506.2069,506.2069,496.0827,8/13/2020
Wekeza Maisha Fund,1408539154,2783236.35,506.0796,506.0796,495.958,8/12/2020
Wekeza Maisha Fund,1408135019,2783137.53,505.9524,505.9524,495.8333,8/11/2020
Wekeza Maisha Fund,1407150857,2781892.04,505.8251,505.8251,495.7086,8/10/2020
Wekeza Maisha Fund,1406781925,2781872.25,505.6961,505.6961,495.5822,8/9/2020
Wekeza Maisha Fund,1356533420,2684526.48,505.3157,505.3157,495.2094,8/6/2020
Wekeza Maisha Fund,1356161599,2684490.85,505.1839,505.1839,495.0802,8/5/2020
Wekeza Maisha Fund,1358414921,2737395.46,496.2436,496.2436,486.3187,8/4/2020
Wekeza Maisha Fund,1357198401,2735664.95,496.1128,496.1128,486.1905,8/3/2020
Wekeza Maisha Fund,1355571141,2733104.05,495.9823,495.9823,486.0626,8/2/2020
Wekeza Maisha Fund,1353025827,2730850.25,495.4595,495.4595,485.5504,7/29/2020
Wekeza Maisha Fund,1352030923,2729563.11,495.3287,495.3287,485.4221,7/28/2020
Wekeza Maisha Fund,1351308895,2728825.6,495.198,495.198,485.294,7/27/2020
Wekeza Maisha Fund,1348451818,2723775.77,495.0671,495.0671,485.1658,7/26/2020
Wekeza Maisha Fund,1347271363,2723553.31,494.6741,494.6741,484.7806,7/23/2020
Wekeza Maisha Fund,1346914493,2723553.31,494.5431,494.5431,484.6522,7/22/2020
Wekeza Maisha Fund,1346367598,2723168.96,494.4121,494.4121,484.5238,7/21/2020
Wekeza Maisha Fund,1345968281,2723088.02,494.2801,494.2801,484.3945,7/20/2020
Wekeza Maisha Fund,1359485818,2751222.02,494.1389,494.1389,484.2561,7/19/2020
Wekeza Maisha Fund,1358410489,2751222.02,493.748,493.748,483.8731,7/16/2020
Wekeza Maisha Fund,1358031998,2751181.49,493.6177,493.6177,483.7454,7/15/2020
Wekeza Maisha Fund,1357673096,2751181.49,493.4873,493.4873,483.6175,7/14/2020
Wekeza Maisha Fund,1356584169,2749701.83,493.3568,493.3568,483.4897,7/13/2020
Wekeza Maisha Fund,1356135168,2749519.36,493.2263,493.2263,483.3617,7/12/2020
Wekeza Maisha Fund,1358114619,2755723.66,492.8341,492.8341,482.9774,7/9/2020
Wekeza Maisha Fund,1357745723,2755703.36,492.7039,492.7039,482.8498,7/8/2020
Wekeza Maisha Fund,1357386801,2755703.36,492.5736,492.5736,482.7222,7/7/2020
Wekeza Maisha Fund,1353843538,2749809.07,492.3409,492.3409,482.4941,7/5/2020
Wekeza Maisha Fund,1351722072,2747745.21,491.9387,491.9387,482.0999,7/2/2020
Wekeza Maisha Fund,1350735295,2746464.23,491.8088,491.8088,481.9726,7/1/2020
Wekeza Maisha Fund,1352169871,2750113.4,491.6779,491.6779,481.8443,6/30/2020
Wekeza Maisha Fund,1352169871,2750113.4,491.6779,491.6779,481.8443,6/30/2020
Wekeza Maisha Fund,1351423532,2749319.89,491.5483,491.5483,481.7173,6/29/2020
Wekeza Maisha Fund,1350791542,2748759.6,491.4186,491.4186,481.5902,6/28/2020
Wekeza Maisha Fund,1349601381,2748515.2,491.0293,491.0293,481.2087,6/25/2020
Wekeza Maisha Fund,1349234601,2748494.82,490.8995,490.8995,481.0815,6/24/2020
Wekeza Maisha Fund,1348777801,2748291.01,490.7696,490.7696,480.9543,6/23/2020
Wekeza Maisha Fund,1348420971,2748291.01,490.6398,490.6398,480.827,6/22/2020
Wekeza Maisha Fund,1272473914,2748291.01,463.0055,463.0055,453.7454,6/21/2020
Wekeza Maisha Fund,1271417067,2748291.01,462.621,462.621,453.3686,6/18/2020
Wekeza Maisha Fund,1271059485,2748291.01,462.4909,462.4909,453.241,6/17/2020
Wekeza Maisha Fund,1284379004,2777878.9,462.3596,462.3596,453.1124,6/16/2020
Wekeza Maisha Fund,1283772310,2777337.56,462.2313,462.2313,452.9867,6/15/2020
Wekeza Maisha Fund,1282485574,2775325.02,462.1028,462.1028,452.8608,6/14/2020
Wekeza Maisha Fund,1281416250,2775325.02,461.7175,461.7175,452.4832,6/11/2020
Wekeza Maisha Fund,1281074964,2775358.38,461.589,461.589,452.3572,6/10/2020
Wekeza Maisha Fund,1280688450,2775293.35,461.4606,461.4606,452.2314,6/9/2020
Wekeza Maisha Fund,1279682123,2773884,461.3322,461.3322,452.1056,6/8/2020
Wekeza Maisha Fund,1279145314,2773493.39,461.2037,461.2037,451.9796,6/7/2020
Wekeza Maisha Fund,1278060288,2773460.83,460.8179,460.8179,451.6015,6/4/2020
Wekeza Maisha Fund,1276953439,2774804.59,460.1958,460.1958,450.9919,6/3/2020
Wekeza Maisha Fund,1276386425,2774348.13,460.0671,460.0671,450.8658,6/2/2020
Wekeza Maisha Fund,1275889373,2774043.63,459.9385,459.9385,450.7397,6/1/2020
Wekeza Maisha Fund,1274048918,2770816.56,459.8099,459.8099,450.6137,5/31/2020
Wekeza Maisha Fund,1272809907,2770450.88,459.4234,459.4234,450.2349,5/28/2020
Wekeza Maisha Fund,1272362885,2770048,459.3288,459.3288,450.1422,5/27/2020
Wekeza Maisha Fund,1271956465,2769991.04,459.1915,459.1915,450.0077,5/26/2020
Wekeza Maisha Fund,1268967061,2764250.97,459.0636,459.0636,449.8823,5/25/2020
Wekeza Maisha Fund,1267514006,2764185.52,458.5488,458.5488,449.3778,5/21/2020
Wekeza Maisha Fund,1267674056,2765327.44,458.4173,458.4173,449.249,5/20/2020
Wekeza Maisha Fund,1267320341,2765327.44,458.2894,458.2894,449.1236,5/19/2020
Wekeza Maisha Fund,1266964187,2765327.44,458.1606,458.1606,448.9974,5/18/2020
Wekeza Maisha Fund,1280153086,2794925.22,458.0277,458.0277,458.0277,5/17/2020
Wekeza Maisha Fund,1265092833,2764334.05,457.6483,457.6483,448.4954,5/14/2020
Wekeza Maisha Fund,1264612273,2764057.06,457.5203,457.5203,448.3699,5/13/2020
Wekeza Maisha Fund,1264193110,2763914.95,457.3922,457.3922,448.2443,5/12/2020
Wekeza Maisha Fund,1263819252,2763871.21,457.2642,457.2642,448.1189,5/11/2020
Wekeza Maisha Fund,1263464772,2763871.21,457.1359,457.1359,447.9932,5/10/2020
Wekeza Maisha Fund,1262301237,2763652.22,456.7511,456.7511,447.6161,5/7/2020
Wekeza Maisha Fund,1262022850,2763818.92,456.6228,456.6228,447.4904,5/6/2020
Wekeza Maisha Fund,1261468298,2763380.67,456.4946,456.4946,447.3647,5/5/2020
Wekeza Maisha Fund,1260914101,2762942.3,456.3664,456.3664,447.2391,5/4/2020
Wekeza Maisha Fund,1260525167,2762865.59,456.2383,456.2383,447.1136,5/3/2020
Wekeza Maisha Fund,1257396892,2759093.92,455.7282,455.7282,446.6136,4/29/2020
Wekeza Maisha Fund,1257042772,2759093.92,455.5998,455.5998,446.4879,4/28/2020
Wekeza Maisha Fund,1255951729,2757517.07,455.4647,455.4647,446.3554,4/27/2020
Wekeza Maisha Fund,1253270748,2752421.61,455.3339,455.3339,446.2272,4/26/2020
Wekeza Maisha Fund,1251412985,2752421.61,454.6589,454.6589,445.5657,4/23/2020
Wekeza Maisha Fund,1249438528,2750220.45,454.3049,454.3049,445.2188,4/22/2020
Wekeza Maisha Fund,1208534455,2750220.45,439.4318,439.4318,430.6432,4/21/2020
Wekeza Maisha Fund,1207284237,2750174.89,438.9845,438.9845,430.2048,4/20/2020
Wekeza Maisha Fund,1206966560,2750152.08,438.8727,438.8727,430.0952,4/19/2020
Wekeza Maisha Fund,1206042629,2750152.08,438.5367,438.5367,429.766,4/16/2020
Wekeza Maisha Fund,1205734705,2750152.08,438.4247,438.4247,429.6562,4/15/2020
Wekeza Maisha Fund,1205226798,2749695.79,438.3128,438.3128,429.5465,4/14/2020
Wekeza Maisha Fund,1204802101,2749429.52,438.2008,438.2008,429.4367,4/13/2020
Wekeza Maisha Fund,1203263560,2749429.52,437.6412,437.6412,428.8883,4/8/2020
Wekeza Maisha Fund,1202845470,2749178.11,437.5291,437.5291,428.7785,4/7/2020
Wekeza Maisha Fund,1201099221,2746821.87,437.2687,437.2687,428.5233,4/5/2020
Wekeza Maisha Fund,1200159530,2746787.53,436.9321,436.9321,428.1934,4/2/2020
Wekeza Maisha Fund,1199786263,2746638.72,436.8198,436.8198,428.0834,4/1/2020
Wekeza Maisha Fund,1199177970,2745951.58,436.7076,436.7076,427.9735,3/31/2020
Wekeza Maisha Fund,1198452854,2744997.22,436.5953,436.5953,427.8634,3/30/2020
Wekeza Maisha Fund,1196023118,2739704.46,436.5519,436.5519,427.8208,3/29/2020
Wekeza Maisha Fund,1195097529,2739704.46,436.214,436.214,427.4898,3/26/2020
Wekeza Maisha Fund,1194352058,2738702.6,436.1014,436.1014,427.3794,3/25/2020
Wekeza Maisha Fund,1193743340,2738014.51,435.9887,435.9887,427.2689,3/24/2020
Wekeza Maisha Fund,1193424573,2737991.56,435.8759,435.8759,427.1584,3/23/2020
Wekeza Maisha Fund,1192697727,2737032.33,435.7631,435.7631,427.0479,3/22/2020
Wekeza Maisha Fund,1191670963,2736802.61,435.4245,435.4245,426.716,3/19/2020
Wekeza Maisha Fund,1191361294,2736802.61,435.3114,435.3114,426.6051,3/18/2020
Wekeza Maisha Fund,1188421605,2730756.99,435.1986,435.1986,426.4946,3/17/2020
Wekeza Maisha Fund,1188111714,2730756.99,435.0851,435.0851,426.3834,3/16/2020
Wekeza Maisha Fund,1187771801,2730688,434.9716,434.9716,426.2722,3/15/2020
Wekeza Maisha Fund,1186841908,2730688,434.6311,434.6311,425.9385,3/12/2020
Wekeza Maisha Fund,1186431848,2730457.86,434.5175,434.5175,425.8272,3/11/2020
Wekeza Maisha Fund,1186121794,2730457.86,434.404,434.404,425.7159,3/10/2020
Wekeza Maisha Fund,1184919851,2728405.19,434.2903,434.2903,425.6045,3/9/2020
Wekeza Maisha Fund,1184609282,2728405.19,434.1765,434.1765,425.4929,3/8/2020
Wekeza Maisha Fund,1181276450,2722873.13,433.8346,433.8346,425.1579,3/5/2020
Wekeza Maisha Fund,1183454955,2728598.7,433.7226,433.7226,425.0482,3/4/2020
Wekeza Maisha Fund,1182976925,2728213.36,433.6087,433.6087,424.9365,3/3/2020
Wekeza Maisha Fund,1182645991,2728167.22,433.4947,433.4947,424.8248,3/2/2020
Wekeza Maisha Fund,1181454272,2726134.47,433.3808,433.3808,424.7132,3/1/2020
Wekeza Maisha Fund,1180175313,2725330.65,433.0393,433.0393,424.3785,2/27/2020
Wekeza Maisha Fund,1179451706,2724367.65,432.9268,432.9268,424.2682,2/26/2020
Wekeza Maisha Fund,1178499850,2722877.39,432.8141,432.8141,424.1579,2/25/2020
Wekeza Maisha Fund,1177812927,2722461.22,432.628,432.628,423.9754,2/24/2020
Wekeza Maisha Fund,1177530168,2722517.17,432.5152,432.5152,423.8649,2/23/2020
Wekeza Maisha Fund,1175108479,2719046.37,432.1767,432.1767,423.5332,2/20/2020
Wekeza Maisha Fund,1174772173,2718979.23,432.0637,432.0637,423.4224,2/19/2020
Wekeza Maisha Fund,1174464844,2718979.23,431.9506,431.9506,423.3116,2/18/2020
Wekeza Maisha Fund,1176538482,2724494.29,431.8374,431.8374,423.2006,2/17/2020
Wekeza Maisha Fund,1176222273,2724473.43,431.7246,431.7246,423.0901,2/16/2020
Wekeza Maisha Fund,1175300521,2724473.43,431.3863,431.3863,422.7586,2/13/2020
Wekeza Maisha Fund,1175029335,2724556.83,431.2736,431.2736,422.6481,2/12/2020
Wekeza Maisha Fund,1173902255,2722654.49,431.1609,431.1609,422.5377,2/11/2020
Wekeza Maisha Fund,1173344751,2722074.51,431.048,431.048,422.427,2/10/2020
Wekeza Maisha Fund,1172780611,2721610.19,430.9142,430.9142,422.296,2/9/2020
Wekeza Maisha Fund,1169658884,2716500.63,430.5756,430.5756,421.9641,2/6/2020
Wekeza Maisha Fund,1169351567,2716500.63,430.4625,430.4625,421.8532,2/5/2020
Wekeza Maisha Fund,1170045103,2719111.33,430.3042,430.3042,421.6981,2/4/2020
Wekeza Maisha Fund,1169737087,2719111.33,430.191,430.191,421.5871,2/3/2020
Wekeza Maisha Fund,1169140264,2718343.54,430.0929,430.0929,421.491,2/2/2020
Wekeza Maisha Fund,1167466535,2716616.83,429.7502,429.7502,421.1552,1/30/2020
Wekeza Maisha Fund,1173773245,2732022.69,429.6352,429.6352,421.0425,1/29/2020
Wekeza Maisha Fund,1183445647,2755293.26,429.5171,429.5171,420.9268,1/28/2020
Wekeza Maisha Fund,1183101697,2755212.48,429.4049,429.4049,420.8168,1/27/2020
Wekeza Maisha Fund,1181829128,2752967.13,429.2929,429.2929,420.707,1/26/2020
Wekeza Maisha Fund,1180561551,2752174.48,428.9559,428.9559,420.3768,1/23/2020
Wekeza Maisha Fund,1180252308,2752174.48,428.8436,428.8436,420.2667,1/22/2020
Wekeza Maisha Fund,1179842626,2752104.49,428.7056,428.7056,420.1315,1/21/2020
Wekeza Maisha Fund,1179535630,2752104.49,428.5941,428.5941,420.0222,1/20/2020
Wekeza Maisha Fund,1178582956,2750599.13,428.4823,428.4823,419.9126,1/19/2020
Wekeza Maisha Fund,1182083290,2760951.35,428.1435,428.1435,419.5806,1/16/2020
Wekeza Maisha Fund,1181760791,2760916.31,428.0321,428.0321,419.4715,1/15/2020
Wekeza Maisha Fund,1181760791,2760916.31,428.0321,428.0321,419.4715,1/15/2020
Wekeza Maisha Fund,1181453270,2760916.31,427.9207,427.9207,419.3623,1/14/2020
Wekeza Maisha Fund,1180219899,2758751.23,427.8095,427.8095,419.2533,1/13/2020
Wekeza Maisha Fund,1179912445,2758751.23,427.698,427.698,419.1441,1/12/2020
Wekeza Maisha Fund,1178969951,2758704.42,427.3636,427.3636,418.8164,1/9/2020
