Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Watoto Fund,3148922021,9556631.62,329.5012,329.5012,326.2062,11/26/2018
Watoto Fund,3146910841,9556363.99,329.3,329.3,326.007,11/23/2018
Watoto Fund,3145959639,9555422.4,329.2329,329.2329,325.9406,11/22/2018
Watoto Fund,3142833851,9547872.51,329.1659,329.1659,325.8742,11/21/2018
Watoto Fund,3141149477,9546648,329.0317,329.0317,325.7413,11/19/2018
Watoto Fund,3139099957,9546267.86,328.8301,328.8301,325.5418,11/16/2018
Watoto Fund,3138108335,9545203.27,328.7629,328.7629,325.4752,11/15/2018
Watoto Fund,3138874741,9544960.32,328.8515,328.8515,325.563,11/14/2018
Watoto Fund,3143238954,9542652.63,329.3884,329.3884,326.0945,11/13/2018
Watoto Fund,3145436153,9550603.68,329.3442,329.3442,326.0508,11/12/2018
Watoto Fund,3140009265,9542084.01,329.0695,329.0695,325.7789,11/9/2018
Watoto Fund,3135615106,9530655.3,329.0031,329.0031,325.7131,11/8/2018
Watoto Fund,3133980277,9527615.2,328.9365,328.9365,325.6471,11/7/2018
Watoto Fund,3141415187,9552137.74,328.8704,328.8704,325.5817,11/6/2018
Watoto Fund,3141415187,9552137.74,328.8704,328.8704,325.5817,11/6/2018
Watoto Fund,3136077698,9536307.07,328.8566,328.8566,325.5681,11/5/2018
Watoto Fund,3133850801,9535302.78,328.6577,328.6577,325.3711,11/2/2018
Watoto Fund,3131506098,9530101.39,328.5911,328.5911,325.3051,11/1/2018
Watoto Fund,3130227909,9528134.07,328.5248,328.5248,325.2395,10/31/2018
Watoto Fund,3143901299,9504919.84,330.7657,330.7657,327.458,10/30/2018
Watoto Fund,3142868829,9503700.61,330.6995,330.6995,327.3925,10/29/2018
Watoto Fund,3133882522,9482218.08,330.501,330.501,327.196,10/26/2018
Watoto Fund,3133690533,9483536.5,330.4348,330.4348,327.1305,10/25/2018
Watoto Fund,3131135591,9477700.17,330.3687,330.3687,327.065,10/24/2018
Watoto Fund,3130358474,9477246.03,330.3025,330.3025,326.9995,10/23/2018
Watoto Fund,3133117692,9487499.81,330.2365,330.2365,326.934,10/22/2018
Watoto Fund,3130731173,9485954.59,330.0386,330.0386,326.7382,10/19/2018
Watoto Fund,3130667672,9483903.79,330.1033,330.1033,326.8022,10/18/2018
Watoto Fund,3130841167,9483297.99,330.1427,330.1427,326.8412,10/17/2018
Watoto Fund,3129864601,9482229.6,330.0769,330.0769,326.7761,10/16/2018
Watoto Fund,3133418274,9499763.28,329.8417,329.8417,326.5433,10/15/2018
Watoto Fund,3261623547,9979704.24,326.8257,326.8257,323.5574,10/12/2018
Watoto Fund,3297075351,9977912.02,330.4374,330.4374,327.133,10/11/2018
Watoto Fund,3296351556,9977760.68,330.3699,330.3699,327.0662,10/10/2018
Watoto Fund,3297146460,9982212.28,330.3022,330.3022,326.9992,10/9/2018
Watoto Fund,3296135820,9981194.6,330.2346,330.2346,326.9323,10/8/2018
Watoto Fund,3296032462,9987017.87,330.0317,330.0317,326.7314,10/5/2018
Watoto Fund,3293933041,9982699.22,329.9642,329.9642,326.6645,10/4/2018
Watoto Fund,3291916584,9978632.2,329.8966,329.8966,326.5976,10/3/2018
Watoto Fund,3294223313,9987741.32,329.8267,329.8267,326.5284,10/2/2018
Watoto Fund,3292400767,9984259.58,329.7591,329.7591,326.4615,10/1/2018
Watoto Fund,3289910343,9982844.5,329.5564,329.5564,326.2608,9/28/2018
Watoto Fund,3289125475,9982510.65,329.4888,329.4888,326.1939,9/27/2018
Watoto Fund,3288143315,9981566.38,329.4216,329.4216,326.1274,9/26/2018
Watoto Fund,3287241935,9980868.05,329.3543,329.3543,326.0608,9/25/2018
Watoto Fund,3285299463,9976982.25,329.2879,329.2879,325.995,9/24/2018
Watoto Fund,3291077235,9971210.8,330.0579,330.0579,326.7574,9/21/2018
Watoto Fund,3292566771,9971007.89,330.214,330.214,326.9119,9/20/2018
Watoto Fund,3291876451,9970962.48,330.1463,330.1463,326.8448,9/19/2018
Watoto Fund,3291032852,9970508.04,330.0767,330.0767,326.776,9/18/2018
Watoto Fund,3283538660,9939350.97,330.3575,330.3575,327.0539,9/17/2018
Watoto Fund,3281516506,9939350.97,330.154,330.154,326.8525,9/14/2018
Watoto Fund,3284269432,9937384.23,330.4964,330.4964,327.1914,9/13/2018
Watoto Fund,3283513744,9937094.83,330.4299,330.4299,327.1257,9/12/2018
Watoto Fund,3281845659,9934057.19,330.3631,330.3631,327.0594,9/11/2018
Watoto Fund,3359558370,9972932.24,336.8677,336.8677,333.499,9/10/2018
Watoto Fund,3357119373,9971508.24,336.6712,336.6712,333.3045,9/7/2018
Watoto Fund,3355990519,9970097.17,336.6056,336.6056,333.2395,9/6/2018
