Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Jikimu Fund,21864219302,175151728.2,124.8302,124.8302,122.3336,10/18/2017
Jikimu Fund,21824703745,174885419.9,124.7943,124.7943,122.2984,10/17/2017
Jikimu Fund,21824703745,174885419.9,124.7943,124.7943,122.2984,10/17/2017
Jikimu Fund,21845623606,175329633.2,124.5974,124.5974,122.1055,10/16/2017
Jikimu Fund,21845623606,175329633.2,124.5974,124.5974,122.1055,10/16/2017
Jikimu Fund,21780628133,175307901.5,124.2421,124.2421,121.7573,10/13/2017
Jikimu Fund,21780628133,175307901.5,124.2421,124.2421,121.7573,10/13/2017
Jikimu Fund,21740540111,175036337.1,124.2059,124.2059,121.7218,10/12/2017
Jikimu Fund,21740540111,175036337.1,124.2059,124.2059,121.7218,10/12/2017
Jikimu Fund,21717982799,175021275.2,124.0877,124.0877,121.6059,10/11/2017
Jikimu Fund,21717982799,175021275.2,124.0877,124.0877,121.6059,10/11/2017
Jikimu Fund,21786668921,175721404.6,123.9841,123.9841,121.5045,10/10/2017
Jikimu Fund,21786668921,175721404.6,123.9841,123.9841,121.5045,10/10/2017
Jikimu Fund,21616433644,174108775.4,124.1548,124.1548,121.6717,10/9/2017
Jikimu Fund,21616433644,174108775.4,124.1548,124.1548,121.6717,10/9/2017
Jikimu Fund,21578924966,173962277.2,124.0437,124.0437,121.5628,10/6/2017
Jikimu Fund,21578924966,173962277.2,124.0437,124.0437,121.5628,10/6/2017
Jikimu Fund,21509973730,173459048.8,124.0061,124.0061,121.5259,10/5/2017
Jikimu Fund,21509973730,173459048.8,124.0061,124.0061,121.5259,10/5/2017
Jikimu Fund,21518308995,173454321.3,124.0575,124.0575,121.5763,10/4/2017
Jikimu Fund,21518308995,173454321.3,124.0575,124.0575,121.5763,10/4/2017
Jikimu Fund,21518308995,173454321.3,123.5359,123.5359,121.0652,10/3/2017
Jikimu Fund,21518308995,173454321.3,123.5359,123.5359,121.0652,10/3/2017
Jikimu Fund,21409537061,173358908.5,123.4983,123.4983,121.0284,10/2/2017
Jikimu Fund,21409537061,173358908.5,123.4983,123.4983,121.0284,10/2/2017
Jikimu Fund,21910565422,173358471.5,126.3888,126.3888,123.861,9/29/2017
Jikimu Fund,21910565422,173358471.5,126.3888,126.3888,123.861,9/29/2017
Jikimu Fund,21967177758,173856467.1,126.3524,126.3524,123.8253,9/28/2017
Jikimu Fund,21967177758,173856467.1,126.3524,126.3524,123.8253,9/28/2017
Jikimu Fund,21971429594,173848736.5,126.3825,126.3825,123.8548,9/27/2017
Jikimu Fund,21971429594,173848736.5,126.3825,126.3825,123.8548,9/27/2017
Jikimu Fund,21971429594,173848736.5,126.3825,126.3825,123.8548,9/27/2017
Jikimu Fund,21962964876,173831355.4,126.3464,126.3464,123.8195,9/26/2017
Jikimu Fund,21962964876,173831355.4,126.3464,126.3464,123.8195,9/26/2017
Jikimu Fund,21866593544,173419351.1,126.0909,126.0909,123.569,9/25/2017
Jikimu Fund,21866593544,173419351.1,126.0909,126.0909,123.569,9/25/2017
Jikimu Fund,21868194855,173414196.6,126.1038,126.1038,123.5818,9/22/2017
Jikimu Fund,21868194855,173414196.6,126.1038,126.1038,123.5818,9/22/2017
Jikimu Fund,21890536848,173640017.7,126.0685,126.0685,123.5471,9/21/2017
Jikimu Fund,21890536848,173640017.7,126.0685,126.0685,123.5471,9/21/2017
Jikimu Fund,21899327967,173760078.5,126.032,126.032,123.5113,9/20/2017
Jikimu Fund,21899327967,173760078.5,126.032,126.032,123.5113,9/20/2017
