Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Umoja Fund,2.14663E+11,395168869.8,543.2189,543.2189,537.7867,1/22/2018
Umoja Fund,2.15739E+11,395152076.6,545.9654,545.9654,540.5057,1/19/2018
Umoja Fund,2.15682E+11,395145408.5,545.829,545.829,540.3707,1/18/2018
Umoja Fund,2.15762E+11,395246957.8,545.8904,545.8904,540.4314,1/17/2018
Umoja Fund,2.15703E+11,395225802.7,545.7717,545.7717,540.314,1/16/2018
Umoja Fund,2.15625E+11,395165246.3,545.6566,545.6566,540.2001,1/15/2018
Umoja Fund,2.1527E+11,395081793.7,544.8752,544.8752,539.4264,1/11/2018
Umoja Fund,2.15327E+11,395269436.2,544.7606,544.7606,539.313,1/10/2018
Umoja Fund,2.15273E+11,395256545.5,544.6403,544.6403,539.1939,1/9/2018
Umoja Fund,2.15118E+11,395229419.2,544.2873,544.2873,538.8445,1/8/2018
Umoja Fund,2.14974E+11,395220233.6,543.9338,543.9338,538.4944,1/5/2018
Umoja Fund,2.14915E+11,395199260.9,543.8145,543.8145,538.3764,1/4/2018
Umoja Fund,2.14978E+11,395407655.7,543.6866,543.6866,538.2498,1/3/2018
Umoja Fund,2.14862E+11,395407655.7,543.3947,543.3947,537.9608,1/2/2018
Umoja Fund,2.14659E+11,395369103.6,542.9327,542.9327,537.5034,12/29/2017
Umoja Fund,2.14599E+11,395344750.8,542.816,542.816,537.3879,12/28/2017
Umoja Fund,2.14641E+11,395570917.4,542.6104,542.6104,537.1843,12/27/2017
Umoja Fund,2.14397E+11,395557462.9,542.013,542.013,536.5929,12/22/2017
Umoja Fund,2.14348E+11,395547426.9,541.9031,541.9031,536.4841,12/21/2017
Umoja Fund,2.14348E+11,395547426.9,541.9031,541.9031,536.4841,12/21/2017
Umoja Fund,2.13073E+11,395529516.3,538.7036,538.7036,533.3166,12/20/2017
Umoja Fund,2.13073E+11,395529516.3,538.7036,538.7036,533.3166,12/20/2017
Umoja Fund,2.13041E+11,395546746.7,538.5997,538.5997,533.2137,12/19/2017
Umoja Fund,2.13041E+11,395546746.7,538.5997,538.5997,533.2137,12/19/2017
Umoja Fund,2.12764E+11,395691974.3,537.7017,537.7017,532.3246,12/18/2017
Umoja Fund,2.12764E+11,395691974.3,537.7017,537.7017,532.3246,12/18/2017
Umoja Fund,2.12783E+11,395971898.2,537.3686,537.3686,531.9949,12/15/2017
Umoja Fund,2.12783E+11,395971898.2,537.3686,537.3686,531.9949,12/15/2017
Umoja Fund,2.1273E+11,395954593.2,537.2577,537.2577,531.8851,12/14/2017
Umoja Fund,2.1273E+11,395954593.2,537.2577,537.2577,531.8851,12/14/2017
Umoja Fund,2.12678E+11,395939468.6,537.1467,537.1467,531.7752,12/13/2017
Umoja Fund,2.12678E+11,395939468.6,537.1467,537.1467,531.7752,12/13/2017
Umoja Fund,2.12619E+11,395915380.9,537.0322,537.0322,531.6619,12/12/2017
Umoja Fund,2.12619E+11,395915380.9,537.0322,537.0322,531.6619,12/12/2017
Umoja Fund,2.1282E+11,396374527,536.9163,536.9163,531.5471,12/11/2017
Umoja Fund,2.1282E+11,396374527,536.9163,536.9163,531.5471,12/11/2017
Umoja Fund,2.12729E+11,396359641.1,536.706,536.706,531.339,12/8/2017
Umoja Fund,2.12729E+11,396359641.1,536.706,536.706,531.339,12/8/2017
Umoja Fund,2.12681E+11,396353391.8,536.5954,536.5954,531.2294,12/7/2017
Umoja Fund,2.12681E+11,396353391.8,536.5954,536.5954,531.2294,12/7/2017
