Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Liquid Fund,18737384772,103241141.1,181.4915,181.4915,181.4915,2/6/2018
Liquid Fund,18694761760,103055587,181.4046,181.4046,181.4046,2/5/2018
Liquid Fund,18659715896,102967296.4,181.2198,181.2198,181.2198,2/2/2018
Liquid Fund,18378429281,101449300.6,181.1588,181.1588,181.1588,2/1/2018
Liquid Fund,18272147519,100897109.8,181.0968,181.0968,181.0968,1/31/2018
Liquid Fund,18261846095,100875395,181.0337,181.0337,181.0337,1/30/2018
Liquid Fund,17843913849,98600383.66,180.9721,180.9721,180.9721,1/29/2018
Liquid Fund,17811852603,98526257.7,180.7828,180.7828,180.7828,1/26/2018
Liquid Fund,17776437625,98364681.52,180.7197,180.7197,180.7197,1/25/2018
Liquid Fund,17754224015,98276112.01,180.6566,180.6566,180.6566,1/24/2018
Liquid Fund,17683735834,97920120.61,180.5935,180.5935,180.5935,1/23/2018
Liquid Fund,17658328446,97776098.03,180.5365,180.5365,180.5365,1/22/2018
Liquid Fund,17605884817,97618072.56,180.3548,180.3548,180.3548,1/19/2018
Liquid Fund,17467187891,96880394.68,180.2964,180.2964,180.2964,1/18/2018
Liquid Fund,17018502415,94422736.01,180.2373,180.2373,180.2373,1/17/2018
Liquid Fund,17005759109,94383885.21,180.1765,180.1765,180.1765,1/16/2018
Liquid Fund,17010996592,94444957.14,180.1155,180.1155,180.1155,1/15/2018
Liquid Fund,15839576714,88061461.95,179.8696,179.8696,179.8696,1/11/2018
Liquid Fund,15871408523,88270529.66,179.8042,179.8042,179.8042,1/10/2018
Liquid Fund,15864712811,88264966.05,179.7396,179.7396,179.7396,1/9/2018
Liquid Fund,15818564991,88039559.82,179.6756,179.6756,179.6756,1/8/2018
Liquid Fund,15422952770,85927754.48,179.4874,179.4874,179.4874,1/5/2018
Liquid Fund,15367412995,85649083.41,179.423,179.423,179.423,1/4/2018
Liquid Fund,15349728087,85581643.2,179.3577,179.3577,179.3577,1/3/2018
Liquid Fund,15231264039,84951393.09,179.2939,179.2939,179.2939,1/2/2018
Liquid Fund,15113442359,84415023.84,179.0374,179.0374,179.0374,12/29/2017
Liquid Fund,15002831021,83827278.65,178.9731,178.9731,178.9731,12/28/2017
Liquid Fund,14932901407,83467096.23,178.9076,178.9076,178.9076,12/27/2017
Liquid Fund,14850567411,83157437.68,178.5838,178.5838,178.5838,12/22/2017
Liquid Fund,14712185503,82412270.78,178.5194,178.5194,178.5194,12/21/2017
Liquid Fund,14712185503,82412270.78,178.5194,178.5194,178.5194,12/21/2017
Liquid Fund,14702494318,82389847.37,178.4503,178.4503,178.4503,12/20/2017
Liquid Fund,14702494318,82389847.37,178.4503,178.4503,178.4503,12/20/2017
Liquid Fund,14649560335,82123491.12,178.3845,178.3845,178.3845,12/19/2017
Liquid Fund,14649560335,82123491.12,178.3845,178.3845,178.3845,12/19/2017
Liquid Fund,16013589296,89868355.23,178.1894,178.1894,178.1894,12/18/2017
Liquid Fund,16013589296,89868355.23,178.1894,178.1894,178.1894,12/18/2017
Liquid Fund,15954617710,89635202.61,177.995,177.995,177.995,12/15/2017
Liquid Fund,15954617710,89635202.61,177.995,177.995,177.995,12/15/2017
Liquid Fund,16053918943,90226201.97,177.9297,177.9297,177.9297,12/14/2017
Liquid Fund,16053918943,90226201.97,177.9297,177.9297,177.9297,12/14/2017
Liquid Fund,16002014948,89967176.45,177.865,177.865,177.865,12/13/2017
Liquid Fund,16002014948,89967176.45,177.865,177.865,177.865,12/13/2017
Liquid Fund,15946601860,89688412.56,177.8,177.8,177.8,12/12/2017
Liquid Fund,15946601860,89688412.56,177.8,177.8,177.8,12/12/2017
Liquid Fund,16015918354,90111656.27,177.7341,177.7341,177.7341,12/11/2017
Liquid Fund,16015918354,90111656.27,177.7341,177.7341,177.7341,12/11/2017
Liquid Fund,15998607426,90111656.27,177.542,177.542,177.542,12/8/2017
Liquid Fund,15998607426,90111656.27,177.542,177.542,177.542,12/8/2017
Liquid Fund,15972840904,89998966.24,177.478,177.478,177.478,12/7/2017
Liquid Fund,15972840904,89998966.24,177.478,177.478,177.478,12/7/2017
Liquid Fund,15950054018,89903158.29,177.4137,177.4137,177.4137,12/6/2017
Liquid Fund,15914611148,89735933.87,177.3494,177.3494,177.3494,12/5/2017
Liquid Fund,15914611148,89735933.87,177.3494,177.3494,177.3494,12/5/2017
Liquid Fund,15859851286,89451108.94,177.3019,177.3019,177.3019,12/4/2017
Liquid Fund,15859851286,89451108.94,177.3019,177.3019,177.3019,12/4/2017
Liquid Fund,15859851286,89451108.94,177.3019,177.3019,177.3019,12/4/2017
Liquid Fund,15859851286,89451108.94,177.3019,177.3019,177.3019,12/4/2017
Liquid Fund,15686469754,88603565.01,177.0411,177.0411,177.0411,11/30/2017
Liquid Fund,15686469754,88603565.01,177.0411,177.0411,177.0411,11/30/2017
Liquid Fund,15659744433,88485025.44,176.9762,176.9762,176.9762,11/29/2017
Liquid Fund,15659744433,88485025.44,176.9762,176.9762,176.9762,11/29/2017
Liquid Fund,15767416127,89126548.87,176.9104,176.9104,176.9104,11/28/2017
Liquid Fund,15767416127,89126548.87,176.9104,176.9104,176.9104,11/28/2017
Liquid Fund,15733887763,88969350.13,176.8462,176.8462,176.8462,11/27/2017
Liquid Fund,15733887763,88969350.13,176.8462,176.8462,176.8462,11/27/2017
Liquid Fund,15672425707,88717165.24,176.6561,176.6561,176.6561,11/24/2017
Liquid Fund,15672425707,88717165.24,176.6561,176.6561,176.6561,11/24/2017
Liquid Fund,15630467258,88510477.03,176.5945,176.5945,176.5945,11/23/2017
